PIN_CTRL,02
FIFO_CTRL1,07
FIFO_CTRL2,08
FIFO_CTRL3,09
FIFO_CTRL4,0A
COUNTER_BDR_REG1,0B
COUNTER_BDR_REG2,0C
INT1_CTRL,0D
INT2_CTRL,0E
WHO_AM_I,0F
CTRL1_XL,10
CTRL2_G,11
CTRL3_C,12
CTRL4_C,13
CTRL5_C,14
CTRL6_C,15
CTRL7_G,16
CTRL8_XL,17
CTRL9_XL,18
CTRL10_C,19
ALL_INT_SRC,1A
WAKE_UP_SRC,1B
D6D_SRC,1D
STATUS_REG,1E
OUT_TEMP_L,20
OUT_TEMP_H,21
OUTX_L_G,22
OUTX_H_G,23
OUTY_L_G,24
OUTY_H_G,25
OUTZ_L_G,26
OUTZ_H_G,27
OUTX_L_A,28
OUTX_H_A,29
OUTY_L_A,2A
OUTY_H_A,2B
OUTZ_L_A,2C
OUTZ_H_A,2D
FIFO_STATUS1,3A
FIFO_STATUS2,3B
TIMESTAMP0_REG,40
TIMESTAMP1_REG,41
TIMESTAMP2_REG,42
TIMESTAMP3_REG,43
INT_CFG0,56
INT_CFG1,58
THS_6D,59
WAKE_UP_THS,5B
WAKE_UP_DUR,5C
FREE_FALL,5D
MD1_CFG,5E
MD2_CFG,5F
INTERNAL_FREQ_FINE,63
X_OFS_USR,73
Y_OFS_USR,74
Z_OFS_USR,75
FIFO_DATA_OUT_TAG,78
FIFO_DATA_OUT_X_L,79
FIFO_DATA_OUT_X_H,7A
FIFO_DATA_OUT_Y_L,7B
FIFO_DATA_OUT_Y_H,7C
FIFO_DATA_OUT_Z_L,7D
FIFO_DATA_OUT_Z_H,7E
