PIN_CTRL,R/W,02,00000010,00111111
RESERVED,-,04-06,Reserved
FIFO_CTRL1,R/W,07,00000111,00000000
FIFO_CTRL2,R/W,08,00001000,00000000
FIFO_CTRL3,R/W,09,00001001,00000000
FIFO_CTRL4,R/W,0A,00001010,00000000
COUNTER_BDR_REG1,RW,0B,00001011,00000000
COUNTER_BDR_REG2,RW,0C,00001100,00000000
INT1_CTRL,R/W,0D,00001101,00000000
INT2_CTRL,R/W,0E,00001110,00000000
WHO_AM_I,R,0F,00001111,01101011
CTRL1_XL,R/W,10,00010000,00000000
CTRL2_G,R/W,11,00010001,00000000
CTRL3_C,R/W,12,00010010,00000100
CTRL4_C,R/W,13,00010011,00000000
CTRL5_C,R/W,14,00010100,00000000
CTRL6_C,R/W,15,00010101,00000000
CTRL7_G,R/W,16,00010110,00000000
CTRL8_XL,R/W,17,0001,0111,00000000
CTRL9_XL,R/W,18,00011000,11100000
CTRL10_C,R/W,19,00011001,00000000
ALL_INT_SRC,R,1A,00011010,output
WAKE_UP_SRC,R,1B,00011011,output
RESERVED,1C,00011100,output
D6D_SRC,R,1D,00011101,output
STATUS_REG,R,1E,00011110,output
RESERVED,-,1F,00011111
OUT_TEMP_L,R,20,00100000,output
OUT_TEMP_H,R,21,00100001,output
Register,mapping,ASM330LHH
40/84,DocID031239,Rev,4
OUTX_L_G,R,22,00100010,output
OUTX_H_G,R,23,00100011,output
OUTY_L_G,R,24,00100100,output
OUTY_H_G,R,25,00100101,output
OUTZ_L_G,R,26,00100110,output
OUTZ_H_G,R,27,00100111,output
OUTX_L_A,R,28,00101000,output
OUTX_H_A,R,29,00101001,output
OUTY_L_A,R,2A,00101010,output
OUTY_H_A,R,2B,00101011,output
OUTZ_L_A,R,2C,00101100,output
OUTZ_H_A,R,2D,00101101,output
RESERVED,-,2E-39,Reserved
FIFO_STATUS1,R,3A,00111010,output
FIFO_STATUS2,R,3B,00111011,output
RESERVED,-,3C-3F
TIMESTAMP0_REG,R,40,01000000,output
TIMESTAMP1_REG,R,41,01000001,output
TIMESTAMP2_REG,R,42,01000010,output
TIMESTAMP3_REG,R,43,01000011,output
RESERVED,-,44-55
INT_CFG0,RW,56,01010110,00000000
RESERVED,-,57,01010111,Reserved
INT_CFG1,RW,58,01011000,00000000
THS_6D,RW,59,01011001,00000000
RESERVED,-,5A,01011010,Reserved
WAKE_UP_THS,RW,5B,01011011,00000000
WAKE_UP_DUR,RW,5C,01011100,00000000
FREE_FALL,RW,5D,01011101,00000000
MD1_CFG,RW,5E,01011110,00000000
MD2_CFG,RW,5F,01011111,00000000
RESERVED,-,60-62,00000000,Reserved
INTERNAL_FREQ_FINE,R,63,01100011,output
Table,18.,Registers,address,map,(continued)
Name,Type
Register,address
Default,Comment
Hex,Binary
DocID031239,Rev,4,41/84
ASM330LHH,Register,mapping
84
RESERVED,-,64-72,00000000,Reserved
X_OFS_USR,RW,73,01110011,00000000
Y_OFS_USR,RW,74,01110100,00000000
Z_OFS_USR,RW,75,01110101,00000000
RESERVED,-,76-77,Reserved
FIFO_DATA_OUT_TAG,R,78,01111000,output
FIFO_DATA_OUT_X_L,R,79,01111001,output
FIFO_DATA_OUT_X_H,R,7A,01111010,output
FIFO_DATA_OUT_Y_L,R,7B,01111011,output
FIFO_DATA_OUT_Y_H,R,7C,01111100,output
FIFO_DATA_OUT_Z_L,R,7D,01111101,output
FIFO_DATA_OUT_Z_H,R,7E,01111110,output
RESERVED,-,7F,Reserved
